Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,5.330000,5.400000,5.290000,5.400000,5.400000,102000
2022-05-17,5.500000,5.500000,5.430000,5.460000,5.460000,224300
2022-05-18,5.520000,5.560000,5.430000,5.430000,5.430000,65400
2022-05-19,5.570000,5.670000,5.550000,5.610000,5.610000,76400
2022-05-20,5.670000,5.740000,5.580000,5.690000,5.690000,83800
2022-05-23,5.760000,5.820000,5.730000,5.790000,5.790000,285000
2022-05-24,5.710000,5.710000,5.390000,5.530000,5.530000,301900
2022-05-25,5.660000,5.740000,5.660000,5.730000,5.730000,107200
2022-05-26,5.740000,5.820000,5.640000,5.820000,5.820000,162200
2022-05-27,5.880000,5.980000,5.880000,5.980000,5.980000,116400
2022-05-31,5.880000,5.940000,5.810000,5.840000,5.840000,113100
2022-06-01,6.000000,6.010000,5.870000,5.910000,5.910000,85400
2022-06-02,5.860000,5.940000,5.760000,5.910000,5.910000,53100
2022-06-03,5.800000,5.800000,5.710000,5.710000,5.710000,38400
2022-06-06,5.730000,5.850000,5.730000,5.780000,5.780000,72400
2022-06-07,5.550000,5.610000,5.530000,5.590000,5.590000,46900
2022-06-08,5.430000,5.520000,5.430000,5.450000,5.450000,71000
2022-06-09,5.390000,5.400000,5.250000,5.250000,5.250000,33400
2022-06-10,5.280000,5.280000,5.130000,5.150000,5.150000,160200
2022-06-13,5.120000,5.150000,4.850000,4.920000,4.920000,76200
2022-06-14,4.810000,5.000000,4.810000,4.960000,4.960000,312000
2022-06-15,4.980000,5.100000,4.900000,5.040000,5.040000,348200
2022-06-16,5.020000,5.020000,4.750000,4.790000,4.790000,244400
2022-06-17,4.750000,4.750000,4.590000,4.680000,4.680000,236500
2022-06-21,4.850000,4.910000,4.830000,4.860000,4.860000,302600
2022-06-22,4.650000,4.780000,4.650000,4.650000,4.650000,468300
2022-06-23,4.570000,4.710000,4.570000,4.630000,4.630000,370700
2022-06-24,4.840000,4.920000,4.840000,4.910000,4.910000,176800
2022-06-27,4.830000,4.870000,4.770000,4.770000,4.770000,196500
2022-06-28,4.890000,4.900000,4.740000,4.750000,4.750000,329600
2022-06-29,4.700000,4.700000,4.610000,4.650000,4.650000,252900
2022-06-30,4.600000,4.600000,4.440000,4.500000,4.500000,222800
2022-07-01,4.330000,4.470000,4.330000,4.400000,4.400000,313100
2022-07-05,4.310000,4.430000,4.300000,4.380000,4.380000,280200
2022-07-06,4.360000,4.360000,4.260000,4.310000,4.310000,455900
2022-07-07,4.350000,4.460000,4.350000,4.460000,4.460000,249500
2022-07-08,4.560000,4.560000,4.410000,4.560000,4.560000,163700
2022-07-11,4.300000,4.420000,4.300000,4.360000,4.360000,211200
2022-07-12,4.390000,4.420000,4.290000,4.360000,4.360000,764600
2022-07-13,4.310000,4.370000,4.290000,4.330000,4.330000,229800
2022-07-14,4.210000,4.410000,4.210000,4.410000,4.410000,136200
2022-07-15,4.340000,4.400000,4.320000,4.400000,4.400000,103000
2022-07-18,4.350000,4.520000,4.350000,4.390000,4.390000,94000
2022-07-19,4.490000,4.560000,4.490000,4.550000,4.550000,670200
2022-07-20,4.680000,4.700000,4.580000,4.670000,4.670000,254400
2022-07-21,4.670000,4.800000,4.670000,4.800000,4.800000,109200
2022-07-22,4.940000,4.950000,4.800000,4.810000,4.810000,85800
2022-07-25,4.750000,4.850000,4.750000,4.830000,4.830000,140300
2022-07-26,4.830000,4.830000,4.690000,4.690000,4.690000,131000
2022-07-27,4.820000,5.130000,4.820000,5.080000,5.080000,147500
2022-07-28,4.940000,5.190000,4.890000,5.090000,5.090000,93900
2022-07-29,4.710000,4.740000,4.660000,4.720000,4.720000,75400
2022-08-01,4.630000,4.820000,4.630000,4.810000,4.810000,113300
2022-08-02,4.610000,4.850000,4.610000,4.680000,4.680000,265300
2022-08-03,4.850000,4.850000,4.720000,4.770000,4.770000,631400
2022-08-04,4.820000,4.880000,4.820000,4.850000,4.850000,1226700
2022-08-05,4.850000,4.860000,4.800000,4.820000,4.820000,63600
2022-08-08,4.740000,4.890000,4.740000,4.810000,4.810000,64800
2022-08-09,4.790000,4.790000,4.740000,4.740000,4.740000,165900
2022-08-10,4.780000,4.830000,4.760000,4.800000,4.800000,86200
2022-08-11,4.860000,4.890000,4.770000,4.800000,4.800000,97900
2022-08-12,4.780000,4.950000,4.780000,4.950000,4.950000,65300
2022-08-15,5.000000,5.030000,4.970000,5.010000,5.010000,137900
2022-08-16,4.940000,4.950000,4.780000,4.940000,4.940000,96800
2022-08-17,4.910000,4.950000,4.830000,4.870000,4.870000,96100
2022-08-18,4.960000,4.990000,4.940000,4.970000,4.970000,64000
2022-08-19,4.970000,5.040000,4.910000,4.950000,4.950000,66700
2022-08-22,5.030000,5.030000,4.820000,4.870000,4.870000,72800
2022-08-23,4.920000,4.920000,4.800000,4.840000,4.840000,95400
2022-08-24,4.780000,4.830000,4.780000,4.810000,4.810000,51600
2022-08-25,4.820000,4.900000,4.810000,4.890000,4.890000,148100
2022-08-26,4.870000,4.870000,4.710000,4.710000,4.710000,92300
2022-08-29,4.520000,4.770000,4.520000,4.720000,4.720000,152000
2022-08-30,4.720000,4.720000,4.640000,4.660000,4.660000,173700
2022-08-31,4.710000,4.750000,4.660000,4.720000,4.720000,88400
2022-09-01,4.730000,4.730000,4.480000,4.600000,4.600000,117500
2022-09-02,4.310000,4.590000,4.310000,4.500000,4.500000,195600
